yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,Cluster,PCA1,PCA2
1,1,0,0,0,1,1,1,0,1,0,10,50,4,0,0,2.199934052999483,-1.4553059408628175
0,1,0,1,1,0,0,0,1,0,1,4,40,0,1,3,-3.3105069370582316,1.5609748567862227
1,1,0,1,0,1,1,1,0,0,0,3,61,4,1,1,1.500669007928466,-0.5892816340994644
0,1,0,1,0,1,0,0,1,0,0,5,55,0,1,3,-1.364879358865415,0.47664296289782604
1,1,1,1,1,1,0,1,1,0,0,4,45,5,0,2,0.13289414124025592,1.8031038984786076
1,1,0,0,0,1,1,1,0,1,0,0,42,3,1,0,2.838533528431483,-0.40857775388558454
0,1,0,1,1,1,0,0,0,0,1,1,52,0,1,3,-1.9223028959136181,-0.26880514217887574
0,1,0,1,0,1,1,1,0,0,0,1,58,5,0,1,1.008717293924404,-1.3907502677867765
0,1,0,1,0,1,1,1,0,0,0,0,48,3,1,1,0.9853157737376549,-0.7311771522659052
1,1,0,0,0,1,1,1,0,1,0,2,58,4,1,0,2.5970706488322937,-0.9537863461786419
0,0,0,1,1,1,0,1,1,0,0,6,18,5,1,3,-1.9853413261850952,1.9061001258056767
1,1,0,0,0,1,1,1,0,0,0,3,68,3,0,0,2.066655263538229,-1.4164525120343356
1,1,0,1,1,1,1,1,1,0,1,0,49,3,0,2,-0.010495910776603702,0.8087244211351662
0,1,0,1,1,0,0,1,1,0,0,9,50,4,0,3,-1.7772156794723568,1.4436346657368002
1,1,0,1,0,1,0,1,1,0,0,1,43,0,0,1,0.873463799122514,1.9535356823006897
1,1,1,1,0,1,1,1,1,0,0,3,67,0,1,1,1.0000908079988413,0.40083837726606975
1,1,0,1,0,1,1,1,0,0,0,0,40,4,0,1,2.002140323781015,-0.18403453797112349
1,1,0,1,1,1,1,1,0,0,1,9,35,2,1,2,-0.23336712657462966,-0.09383449659336003
0,0,0,1,1,0,0,0,1,0,1,9,42,0,0,3,-4.602341219372915,0.7570631776773542
0,1,0,1,0,1,1,1,0,0,0,1,41,0,0,1,1.150578365948104,-0.7991402764670507
1,1,0,1,1,1,1,1,0,1,0,3,32,3,1,2,1.7654610178464825,0.3879347802245332
1,1,0,1,1,1,0,1,0,0,0,2,21,3,0,2,0.9439568398041085,1.5658478766723225
0,1,0,1,1,1,1,1,0,0,0,3,56,4,0,2,0.401090043116113,-1.1059867789535383
0,1,0,1,1,1,0,0,0,0,0,1,27,0,1,2,-0.849900910096492,0.5973257032866619
0,1,0,1,1,1,0,0,1,0,0,8,48,5,0,3,-1.9237133900742032,0.36061876914981816
1,1,0,1,0,1,1,1,0,0,0,1,32,4,1,1,1.793397475057184,0.25739531609484534
0,1,0,1,1,1,1,0,0,0,0,2,50,3,1,2,-0.5400190356472581,-1.1674342984924635
1,1,0,1,1,1,0,1,1,0,0,1,42,5,0,2,0.34171447910175795,2.1293131915503047
1,1,1,1,1,1,1,1,1,1,1,10,35,1,1,2,-0.2269454021699628,0.8007780352163393
1,1,1,1,0,1,1,1,0,0,0,3,57,3,0,1,1.7371984348574063,-0.8373091618809747
1,1,0,1,0,1,0,1,0,0,0,2,68,3,1,1,1.0213843507139564,0.3449845990156368
0,1,0,1,0,1,0,0,1,0,0,2,51,3,0,1,-0.9815452382486121,0.3528646482633958
1,1,0,1,1,0,0,1,1,0,1,5,42,0,0,2,-1.5199110802363205,2.4185981175120976
0,1,0,1,0,0,0,0,0,0,0,8,44,0,0,3,-1.4813095447556257,-0.230818368352427
1,1,0,1,0,1,1,1,0,0,0,1,57,5,0,1,1.8317742429912358,-0.7026577356890114
0,1,0,1,1,1,1,0,0,0,0,1,56,5,0,2,-0.34528813664622565,-1.6202547872415822
0,1,1,1,0,0,0,0,0,0,0,5,57,0,0,3,-1.2829729438909814,-0.4999031857207174
1,1,0,0,0,1,0,1,1,1,0,10,33,4,0,0,1.1968818077586085,1.1212169445452038
0,0,0,1,1,0,0,0,1,0,1,6,63,0,1,3,-4.648095961173545,0.6649102866214421
1,1,0,1,0,1,0,1,1,0,0,1,55,3,1,1,0.6079686269071909,1.8413315743052519
0,1,0,1,1,0,0,0,1,0,0,8,39,0,0,3,-2.4868213307484464,1.315212443634997
0,1,0,1,0,1,1,0,0,0,0,6,65,2,1,1,-0.4275120080264398,-2.035468060020906
1,1,1,1,1,1,1,1,0,1,0,3,47,4,0,2,1.886003260868499,-0.4090198139150756
1,1,0,1,0,1,1,1,0,1,0,0,37,0,0,1,2.653558688617399,-0.08510453687625273
0,1,0,1,1,1,1,0,0,0,1,4,22,5,1,3,-1.5306843557097098,-0.8438748938832764
0,1,0,1,1,1,1,0,0,0,0,5,51,0,1,3,-0.7371474710238651,-1.2557015031301484
1,1,0,0,0,1,1,1,0,1,0,10,24,3,0,0,2.3380510432404717,-0.7584923542248801
1,1,1,1,1,1,1,1,1,0,0,0,49,3,0,2,0.9741128264882783,0.942059671453371
1,1,0,1,0,1,0,1,1,1,0,10,55,3,0,1,0.6854342811345183,0.9798237497840411
0,1,0,1,0,1,1,0,0,0,1,9,48,5,1,3,-1.5594076276832065,-2.076950015508193
1,1,0,1,1,1,1,1,0,0,0,2,24,0,0,2,1.498082377610738,0.5529634428141788
0,1,0,1,0,1,0,1,1,0,0,5,47,0,1,1,-0.4396098845524605,1.2687591994267537
0,1,0,1,0,1,1,0,0,0,1,7,54,5,1,3,-1.4366378841946974,-2.1261671181054638
1,1,0,1,0,1,1,1,0,0,0,3,23,4,0,1,1.8568334168088705,0.09456689942000117
0,1,0,1,1,1,1,0,0,1,0,0,34,0,0,2,0.48620823604509267,-0.9515076425550187
1,1,0,1,1,1,1,1,0,0,1,2,32,3,0,2,0.4726459566654967,0.0281042664405483
0,1,0,0,0,1,1,0,0,0,0,2,58,3,0,0,0.4865449096194002,-2.3581364273478127
0,1,0,1,0,1,0,0,1,0,0,8,46,5,0,3,-1.4367058714255994,0.10517072731852369
1,1,0,1,0,1,1,1,0,0,0,8,23,0,0,1,1.5245173586748442,-0.04117577702644715
1,1,0,1,1,1,1,1,0,0,0,0,31,3,1,2,1.4087725477422754,0.6731089345273956
0,1,0,1,1,1,1,1,0,0,0,8,59,5,1,2,-0.17674139222799357,-1.186145387520258
0,1,1,1,1,1,0,0,1,1,0,8,47,3,1,3,-1.443762783971201,0.5417354101719767
1,1,0,1,0,1,1,1,0,0,0,2,58,1,0,1,1.798413270692579,-0.6552679150240759
1,1,0,1,0,1,1,1,0,0,0,3,55,0,1,1,1.5772525426998378,-0.3105306353641414
1,1,0,1,1,0,1,1,0,0,0,3,62,3,0,2,0.5358958814115556,0.0019786995250592903
1,1,0,1,1,1,1,1,0,0,0,1,20,3,1,2,1.3862353842586401,0.9024932693212494
0,1,0,1,0,1,1,1,0,0,0,8,42,0,1,1,0.44241527137915565,-0.9011773839056317
0,1,0,1,1,1,1,0,0,0,1,6,29,3,1,3,-1.6928577483337712,-1.064833858908781
0,1,0,1,0,1,0,0,1,0,0,0,63,3,1,1,-1.059549070598031,0.43890214612753325
0,1,0,1,1,1,1,1,0,0,1,1,26,4,1,2,-0.42396621836774695,-0.17108293978248426
1,0,0,1,1,1,1,1,0,0,0,10,19,3,0,2,-0.1948420568262588,-0.03335696102519872
1,1,0,1,0,1,1,1,0,0,0,0,61,5,0,1,1.888303151202913,-0.7528632599245492
1,1,0,1,1,1,0,1,1,0,0,10,19,4,1,2,-0.38994907697532966,2.5685309898517135
1,1,0,1,0,1,0,1,1,1,0,3,56,3,0,1,1.2122476539958482,1.3195033494316393
0,1,0,1,1,1,0,0,1,0,1,7,39,5,0,3,-2.7550598534417117,0.41696737105103043
1,1,0,1,1,1,0,1,1,0,0,8,45,3,1,2,-0.3524366657443915,2.038666718794874
0,0,0,1,1,0,0,0,1,0,1,9,52,5,1,3,-4.881848341311038,0.6334684349987664
1,1,0,0,0,1,1,1,0,1,0,8,42,3,0,0,2.402549224338052,-1.1148731320649787
1,1,0,1,1,1,0,1,1,0,0,2,47,3,0,2,0.26520577588483796,2.011730539910676
1,1,0,1,0,1,1,1,0,0,0,10,22,4,0,1,1.3300200439475405,-0.24511270022759712
1,1,1,1,1,1,1,1,0,0,0,1,63,3,1,2,1.2110347921200029,-0.2910478386903247
1,1,0,1,1,1,1,1,0,0,0,10,65,0,0,2,0.6913657740391708,-0.9139713876953878
0,1,0,0,0,1,1,1,0,0,0,0,63,0,1,0,1.364540403232289,-1.4117027950562184
1,1,0,1,1,1,0,1,1,0,0,2,25,3,1,2,0.20039917895907694,2.863700382605349
1,1,0,1,1,1,0,1,1,0,0,0,62,5,1,2,0.14891017614973318,1.958392538407152
0,1,0,1,1,0,1,0,0,0,0,8,59,5,0,3,-1.5576466680751888,-1.4945628119761176
0,1,0,1,1,1,1,1,0,0,0,0,67,5,1,2,0.3920329982472814,-0.9734622309189044
0,0,0,1,1,1,0,0,1,0,1,9,60,2,1,3,-4.218988929952402,-0.045189944321692
1,1,0,0,0,1,1,1,0,1,0,3,69,4,1,0,2.4677022876319556,-1.2875354159966388
0,0,0,1,1,1,0,0,1,0,1,9,40,2,1,3,-4.121869659300854,0.4667495144163541
1,1,0,0,0,1,1,1,0,1,0,1,67,5,1,0,2.6174578009871077,-1.1632690253771687
1,1,0,0,0,1,1,1,0,1,0,1,37,0,0,0,2.994084193576777,-0.5277348239605346
0,1,1,0,1,1,0,0,1,0,0,7,65,0,1,3,-1.592556003395057,-0.06036870508722629
1,1,0,1,0,1,0,1,1,0,0,2,64,3,0,1,0.6599499874144715,1.2699400122782376
1,1,0,1,0,1,1,1,0,0,0,3,57,3,0,1,1.703592595095216,-0.7444378901561998
1,1,0,1,1,1,0,1,1,1,0,10,37,4,1,2,0.11204630010102187,2.004755398157726
1,1,0,1,1,1,0,1,1,1,0,1,39,3,0,2,0.9694089671501884,2.1656586120882206
1,1,0,1,0,1,0,1,0,0,0,0,64,0,1,1,1.22829954471017,0.6456140966228211
1,1,0,1,1,1,1,1,0,0,1,5,23,5,1,2,0.09312967000231553,0.3281817778623217
1,0,1,1,1,1,1,0,0,0,1,1,50,4,0,3,-1.4774828274450904,-1.2949323515404683
0,1,0,1,1,1,0,0,1,0,1,7,60,0,1,3,-2.9693631902984166,0.32472882885129056
0,1,0,1,1,1,0,0,1,0,1,5,32,5,1,3,-2.74080037867216,0.9893473547163115
0,1,0,1,1,1,1,0,0,0,1,9,59,2,0,3,-1.882895208300613,-2.246834297356409
0,0,0,1,0,1,0,0,1,0,1,5,37,3,1,3,-3.338057066145703,0.41433562529177076
1,1,0,1,1,1,0,1,0,1,0,2,25,1,0,2,1.5376595831244972,1.423014486651922
0,1,0,0,0,1,0,0,0,0,0,2,55,3,1,0,-0.20363260764776264,-0.9625386845714158
0,1,0,1,1,1,0,1,1,0,1,5,25,3,1,3,-1.7966629911038292,1.8184511988652916
0,1,0,0,0,1,1,0,0,1,1,6,35,5,0,0,-0.09090303212716755,-2.369956701277026
0,0,1,1,1,1,1,0,0,0,1,7,58,2,0,3,-2.766524218503931,-2.4127133187120235
0,1,0,1,1,1,1,0,0,0,1,9,32,2,1,3,-1.923421987563487,-1.2668795899772252
1,1,0,1,1,1,1,1,1,0,1,9,45,2,0,2,-0.6627849793301981,0.4727632955526089
0,1,0,1,0,1,0,0,1,0,0,6,60,5,0,3,-1.3527838361977094,-0.14882215877396557
0,1,0,1,0,1,1,1,0,0,0,2,59,5,1,1,0.7562707734073761,-1.1796931701529285
0,1,0,1,0,1,1,0,0,0,0,8,36,3,0,1,-0.2788187340171821,-1.717649308236181
0,1,0,1,1,1,1,0,0,0,1,8,55,5,1,3,-1.9947422016527108,-1.8973044708493383
1,1,0,1,0,1,1,0,0,0,0,0,55,0,0,1,1.0903268583159262,-1.0301604239444584
1,1,0,1,0,1,0,1,1,0,0,2,22,3,0,1,0.863900455782722,2.3450128756281345
1,1,0,1,1,1,1,1,0,0,0,2,21,4,0,2,1.4652025146325627,0.5045852005109764
1,1,0,1,1,1,1,1,0,0,0,0,62,4,1,2,1.2463757398383994,-0.1516895167950533
1,1,0,1,1,1,1,1,0,0,0,2,29,3,1,2,1.2665789501234568,0.6199381453770572
1,1,0,1,1,1,1,1,0,1,0,0,36,3,0,2,2.145533245384596,0.15325755293031662
0,1,0,1,1,1,0,0,0,0,0,8,44,5,1,3,-1.523431318514099,-0.3595608606175645
0,1,0,1,1,1,1,0,0,0,0,1,47,5,0,2,-0.30158446485302914,-1.3898820308094615
0,0,0,1,1,0,0,0,1,0,1,9,57,5,0,3,-4.734490364331461,0.21664713223143284
0,1,0,1,0,1,1,1,0,0,0,0,23,5,0,1,1.2546287799065996,-0.44267384748312427
1,1,0,1,1,1,1,1,0,0,0,10,31,4,0,2,0.8090207805708947,-0.1688434689546189
1,1,0,0,0,1,1,1,0,1,0,3,70,1,0,0,2.6700699339237723,-1.5080919561809312
1,1,1,1,0,1,1,1,0,1,0,10,24,4,1,1,1.7716788826648573,-0.20337155857310021
0,1,0,1,1,1,0,1,1,0,0,2,27,0,1,2,-0.5919279184584016,2.2438877484061135
0,1,0,1,1,1,1,0,0,0,1,9,58,2,0,3,-1.8780392447680356,-2.2212373244195067
0,1,1,1,0,1,1,0,0,0,0,1,51,4,1,1,0.0301172561138141,-1.5716544536256456
0,0,0,1,1,0,0,0,1,0,1,5,36,0,1,3,-4.441032183451968,1.4082109234298756
0,1,0,1,0,1,1,1,0,0,0,8,36,3,0,1,0.6076030320351532,-1.1303088552024718
0,0,1,1,1,1,0,0,1,0,1,8,43,0,1,3,-4.003155071006456,0.41185427194989843
0,1,1,1,1,0,0,0,1,0,1,6,64,2,1,3,-3.5690736235498264,0.6868269189946952
0,1,0,1,0,1,0,0,1,0,1,6,52,3,1,3,-2.412852943294292,0.18116812131804955
0,1,0,1,0,1,1,1,0,0,0,0,53,2,1,1,0.9728978944687446,-0.8278697266719395
0,1,0,1,1,1,0,0,1,0,1,9,52,2,0,3,-2.9345070888672615,0.07371885868258947
1,1,1,1,1,1,1,1,0,0,0,2,33,4,0,2,1.4405367920038246,0.10455025354337365
1,1,0,1,1,1,1,1,0,0,0,10,24,4,1,2,0.6713747306564727,0.29917177968651915
1,1,0,0,0,1,0,1,0,0,0,3,64,3,0,0,1.5529715044461072,-0.2840942344038579
1,1,1,1,1,1,0,1,1,1,1,2,41,3,1,2,-0.20529057463991796,2.032040943017411
0,0,0,1,1,0,1,0,0,0,1,9,56,5,0,3,-3.644030775504194,-1.8991302403123473
1,1,0,1,0,1,1,1,0,1,0,3,49,3,0,1,2.3318430240185792,-0.6426921854907268
1,0,0,1,1,1,0,1,1,0,0,4,24,5,0,2,-0.8727328025198684,2.230542144286446
0,1,0,1,0,1,1,0,0,0,0,1,62,0,0,1,0.16218136571164352,-1.9240171611757086
0,1,0,0,0,1,1,1,0,0,0,8,56,0,1,0,0.7909100492244365,-1.6499829245944744
1,1,0,1,1,0,0,1,0,0,0,2,67,0,1,2,-0.08159076659230889,1.3388598971537415
1,1,0,1,0,1,1,1,0,0,0,2,27,3,1,1,1.7535864687720608,0.3644901035457627
0,1,0,1,0,1,0,0,1,0,1,7,53,5,1,3,-2.517385545956809,0.040804200312121064
1,1,1,1,0,1,1,1,0,1,1,7,60,5,0,1,1.0334954412638262,-1.5146507321696479
0,1,0,1,1,1,1,1,0,0,0,8,51,5,0,2,0.03374411067508926,-1.2702060421078616
0,1,1,1,1,1,0,1,1,0,0,9,67,5,0,3,-1.171901853720635,0.3165630971455371
1,1,0,1,0,1,1,1,0,0,0,2,27,3,0,1,1.9252242634145245,0.07565366546294079
0,1,0,1,1,1,0,0,1,0,0,8,56,0,1,3,-2.074889201007402,0.6011408751298083
1,1,0,1,1,1,1,1,0,0,0,3,39,3,1,2,1.142066552455696,0.31178604849596253
1,1,0,1,0,1,1,1,0,0,0,3,35,4,0,1,1.7985618544179418,-0.2125967758228265
1,1,0,1,1,1,1,1,0,0,0,1,68,3,0,2,1.3247869293373888,-0.6149978697328831
1,1,0,0,1,1,1,1,0,1,0,10,57,4,0,0,1.6886467166879915,-1.3278427637160346
0,1,0,1,1,1,1,0,0,0,1,9,50,2,0,3,-1.8391915365074165,-2.0164615409242885
1,1,0,0,0,1,1,1,0,1,0,2,64,3,0,0,2.75143460067327,-1.3649123316044003
0,1,0,1,0,1,1,0,0,0,0,6,66,4,0,1,-0.2844540537045072,-2.412486051597585
1,1,1,0,0,1,1,1,0,1,0,10,27,1,1,0,2.20917507455042,-0.5767335261205858
0,0,0,1,0,1,0,0,1,0,1,9,70,2,1,3,-3.7902529736947272,-0.6078016613958139
0,1,0,1,1,0,1,1,1,0,0,4,51,3,1,2,-1.0289760743210559,0.9691078728386868
1,1,0,1,0,1,1,1,0,0,0,8,60,5,0,1,1.2855370159995962,-1.144725227084219
0,0,0,1,0,1,0,0,1,0,1,7,49,5,0,3,-3.400320235366095,-0.3486138036149765
0,1,0,1,1,1,1,0,0,0,1,9,54,2,0,3,-1.858615390637726,-2.118849432671898
0,0,0,1,1,1,0,0,1,0,1,9,58,2,0,3,-4.037639208244784,-0.2828324365307093
0,0,0,0,0,1,1,0,0,0,0,6,70,3,0,0,-0.9495340403215349,-3.0769990302308114
1,1,0,0,0,1,0,1,1,0,0,2,59,1,1,0,0.9527941545242128,1.358897976030315
0,1,0,1,0,1,1,0,0,1,0,0,54,5,0,1,0.8070748650071097,-1.9265505403905505
0,1,1,0,1,1,0,0,1,0,0,6,52,0,0,3,-1.2818379204871002,0.03573787252175324
1,1,0,1,1,1,1,1,0,1,0,3,22,4,0,2,1.973796509420743,0.32377578123225703
1,1,0,1,1,1,0,1,1,0,0,2,53,0,0,2,0.27165580987130417,1.9520255731246947
1,1,0,0,0,1,1,1,0,1,0,10,69,1,0,0,2.1432565610624428,-1.8477715558285295
0,1,1,1,1,1,0,0,1,0,1,0,20,0,1,3,-2.209849472839223,1.6210130471871083
1,1,1,1,0,1,1,0,0,0,0,2,66,3,0,1,0.8830257593538614,-1.6028400038347337
1,1,0,1,0,1,1,1,0,0,0,10,25,1,0,1,1.351037968531739,-0.2280267482028721
1,1,0,1,1,1,0,1,1,0,0,10,31,4,0,2,-0.2765828447237947,1.9725308765260636
1,1,0,1,0,1,1,1,0,1,0,0,67,3,0,1,2.4722939674581466,-0.9468905958187537
1,1,1,1,0,1,1,1,0,0,0,2,56,3,0,1,1.8180071607319703,-0.7595298214320009
0,1,0,1,1,1,1,1,0,0,0,0,48,5,0,2,0.6559341000087155,-0.7759561832005826
0,1,0,1,0,1,1,0,0,0,0,4,54,0,0,1,-0.0268292130536976,-1.8757884802167046
1,1,0,0,0,1,1,1,0,1,0,10,58,3,1,0,2.0013104884903767,-1.3399529959967367
1,1,0,1,0,1,1,1,0,0,0,2,42,4,0,1,1.8405228720318867,-0.3395932188690711
1,1,0,1,0,1,0,1,0,0,0,3,38,4,0,1,1.2508863505977783,0.7405826912493353
0,1,0,1,1,1,1,1,0,1,0,1,28,0,1,2,1.154175226308442,0.02606871867085499
1,1,0,1,0,1,0,1,1,0,0,2,47,4,0,1,0.7306394290743103,1.6737962619270994
0,0,0,1,1,1,1,0,0,0,0,8,49,5,1,3,-2.088599861136614,-1.72048556877683
0,1,0,1,1,1,1,1,0,0,1,8,40,0,0,3,-0.8045334959993666,-1.0583844104525297
0,0,0,1,1,1,0,1,1,1,1,8,31,4,1,3,-2.5501126152385454,1.1710304320075557
0,1,1,1,1,1,1,0,0,0,0,9,50,2,1,3,-1.0262205938849982,-1.5942898525232618
1,0,1,1,0,1,1,1,0,0,0,4,69,5,0,1,0.5052538951544782,-1.4622092427847135
1,1,0,1,0,1,1,1,0,1,0,3,40,3,0,1,2.3755466958117757,-0.4123194290586062
1,1,0,1,1,1,1,1,0,0,1,10,30,3,1,2,-0.2969020096477063,-0.049324289699397325
0,1,0,1,1,1,1,1,0,0,1,6,44,5,1,3,-0.9029993120580507,-0.9240325804855606
1,1,0,1,1,1,0,1,1,0,0,2,32,3,1,2,0.16640743423103516,2.684521572047033
1,1,0,1,0,1,1,1,0,0,0,2,67,4,1,1,1.5474859890749884,-0.6906811042088068
